platform,restaurant_id,user_name,rating,review_text
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Huỳnh Thị Phương,5.0,"Quán ăn ngon miệng với món ăn hấp dẫn quán thì sạch sẽ nhân viên nhiệt tình hài hước quán tuyệt, hợp phong cáchXem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Thuy,3.8,"Cơm trắng chứ không phải cơm chiên như hình
Gà công nghiệp cũ để lâu chiên lại 
Giá 130k mà tệ hơn cơm gà xối mỡ luôn chứ đó mà gà nướngXem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Robert Chen,8.6,"Nhà hàng chay Hạnh Dung

📍Vị trí: nằm mặt tiền đường***
🛵 Gửi xe: ngay phía trước nhà hàng. Mặt tiền rộng hơn 10m
🏡 Không gian: ấm cúng, rộng rãi có phòng riêng tiếp khách. Không gian chay và mặn đều có bếp riêng. 

🍽 Mình có order được vài món ngon: 
🍜 : cải rổ sốt dầu hào
🍲: súp tóc tiên cực ngon
☕️ : trà bông cúc nóng
🍚: cơm sườn xào chua ngọt
🍠: các loại rau củ xào chay...

Nhìn chung là ok. Giá hơi đắt. Thích hợp tiệc tùng họp bạn...Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Nga Nguyen,3.4,Không chấp nhận được với giá 119k móm mực xào mà bán 1 đĩa đồ ăn ko giống cho người ăn.Xem thêm
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Man Ironman,7.8,Tết không có gì ăn . Mà quán mở xuyên Tết nên đặt về ăn thử . Đồ ăn làm đầy đặn ngon miệng . Hơi ngọt so với khẩu vị của mìnhXem thêm
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Sin Yang,4.8,"Đặt hàng quán nhiều lần rồi thích nhất mì bò kho.. Mà lần này ko biết làm ntn mà độn thịt heo vào, ko chấp nhận được nha quán, thịt rất cứng ko ăn được gì.. Nguyên tô chỉ ăn được mì.. Suy nghĩ lại quán độn thịt heo vào thấy làm ăn kì nha, hơi bị sợ rồi..Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Trinh Lam,10,"Trưa bị thèm cơm chiên tỏi + trứng 
Thấy trên foody quán cũng nổi tiếng nên vào order
Trên menu chỉ có cơm chiên tỏi thôi (20k)
Mình có ghi chú thêm 1 cái trứng vào (10k)
Giá cực rẻ ,ăn no nê bữa trưa luôn 
Cơm rất thơm và ngon 
Bị ghiền thực sựXem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Chú Heo Giận Dữ CeCe,9.6,"Quán cơm hạnh dung dành cho những bạn ưa thích hương vị cơm nhà các miền mà chưa có đủ thời gian chuẩn bị nấu nướng cho gia đình.
Ở đây có khoảng hơn 200 món ăn gia đình phù hợp cho đi 3 4 món.
Nếu như bạn đi ít hơn 2 người nên chọn cơm dĩa theo phần 1 người. Còn những ai có khả năng ăn khỏe như ly thì cứ mạnh dạn ăn theo món nha. 
+ Thức ăn : thường thì set ăn 4 người gia đình ly hay ăn gồm 2 món mặn; 1 món xào vs 1 tô canh nhỏ ( vì order tô lớn ở đây thì nhìn ngấy lém vả lại kích thước tô này cũng quá lớn so vs tô thường gia đình các bạn hay dùng).  
***Mùi vị chuẩn vị các món nhất là các loại cá kho . ( kho thơm ra kho thơm; kho tộ ra kho tộ; kho cà ớt ra kho cà ớt ) .
*** Mình cực kỳ ghét các vị thịt kho cá kho na ná giống nhau vì quan niệm rót nc mắm vô tội vạ thì gọi là kho.
Có các món tráng miệng bánh flan; rau câu; sữa chua phô mai; chè..v.v.
+ Không gian vào giờ cao điểm sẽ hơi ồn tí vì giờ ăn mà. Quán ăn có máy lạnh ; Không gây mùi thức ăn; bàn ghế sạch sẽ . Vừa ăn vừa nói chuyện thoải mái.
+ Giá cả: Hihi nhà mình ăn tầm ( 300 đến 500k / bữa cơm gia đình )
   Có nhiều món bình dân các bạn có thể lựa chọn 😏 nên đừng lo ngại j nà.Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Ly  Ly,9.4,"Rất nhiều lần cùng gia đình và mời khách ở đây. Quán ăn gia đình, các món gia đình quen thuộc được nấu ngon và bài bản. Giá thì ko rẻ cũng ko mắc. Phục vụ chu đáo nhanh nhẹn. Nếu đi 1 mình cũng có món cơm dĩa hoặc các món mì. Thực đơn phong phú, chất lượng các món đồng đều. Có chỗ để oto, nhớ nói nvien là lấy phiếu gửi xe oto. xe máy gửi miễn phí.Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,binbin,10,"Mình hay ăn ở đây vào buổi tối với gia đình. Hôm nay đi làm buổi trưa quyết định ghé ngang ăn với đồng nghiệp. Buổi trưa rất đông nhưng phục vụ vẫn ổn. Các bạn ở đây đa số là thời vụ nên rất dễ thương. Có vài anh chị lớn tuổi chắc là lâu năm nên hiểu tâm lý khách quen.
Đồ ăn vừa miệng, lại đang có chương trình combo nên đi đông rất tiết kiệm. Bao gồm nước, khăn trong combo luôn nên tiện lắm
Sẽ quay lại.Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,minhcute,10,"Chất lượng tốt. Hương vị ngon
Mình đi chung với cty nên đc sếp đãi ăn trong phòng riêng. Thích hợp đãi sinh nhật, họp mặt gia đình
Ở đây có tráng miệnv rau câu bánh flan đậm đà. Nghe nv nói là nhà làm
Sẽ quay lại.Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Hy Yang,9.8,"Quán có cả chay với mặn nên thích hợp cho gia đình mình họp mặt vì ba mình ăn chay, mọi người còn lại ăn mặn nên kiếm chỗ ăn chung khó lắm.
Chất lượng tốt. họp mặt trong phòng riêng có máy lạnh siêu mát, lại riêng tư nữa. Tiền cơm tính là 14k/người ăn thoải mái. Món ăn giao động từ 50~100k. Ăn 12 người mà bill có 850k. 
Mình thích nhất là nước bông cúc kỷ tử ở đây, lúc đầu tưởng mắc nhg khi tính tiền chỉ có 20k/ly. Giá khá rẻ.
Lưu ý nên đặt bàn trước khi đến vì quán cuối tuần khá đông, phòng riêng lúc nào cũng full.Xem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Nguyetpham2509 Pham,8.2,"Đã ăn ở đây nhiều lần, thích hợp cho không gian gia đình, giá hợp lý, ăn tại chỗ nhà hàng phục vụ nhanh, nhưng đặt giao hàng thì hơi lâu. Phải kiên nhẫn chờ đợi chút. Sẽ ghé lạiXem thêm"
Foody,https://www.foody.vn/ho-chi-minh/hanh-dung-am-thuc-chay-man/binh-luan,Thanh Nabi,8.2,"Được ngày rằm nên bạn cùng phòng rủ đi ăn chay
Quán Hạnh Dung thì mình đã biết từ lúc nhỉ và ăn cũng khá nhiều lần,có lẽ tới ăn sẽ ngon hơn khi order ship
Chỉ có 2 đứa mà kêu cũng khá nhiều món
Cơm rất dễ thương được để trong cái chén nhỏ giữ ấm
Canh rong biển thì được nấu từ rong biển tươi và có thêm tàu hủ,ăn tong biển tươi sần sật thích lắm
Nấm kho tàu hủ hơi mặn xíu nhưng ăn với cơm thì ngon hơn
Cải Xào và Nấm Bào Ngư xào xả ớt cũng ok lắm
Nói chung quán làm đồ ăn rất rất ngon nhưng đi ngày chay thì đông quá nên hơi ngộp,mấy bé nvien cũng dễ thươngXem thêm"
